"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.076899833E0,-3.176684675E0,-6.172715530E0,-1.820425344E-1,6.944557727E0
1.086890833E0,4.524920458E-1,4.420992631E0,-4.360249124E0,6.225889279E0
1.096881833E0,-4.771240264E0,-4.180355149E0,8.579634730E0,1.067006255E1
1.106873833E0,-2.574167694E0,3.961717231E0,-4.326237625E0,6.406081073E0
1.116864833E0,-6.601064422E0,8.950313119E0,-9.517249793E-1,1.116189665E1
1.126855833E0,-8.947114107E0,9.404594997E0,1.667482355E0,1.308731276E1
1.136846833E0,-4.616411841E0,4.981828905E0,-1.800117964E-1,6.794283021E0
1.146838833E0,-1.934334952E-1,1.938859527E0,-2.474739300E0,3.149750369E0
1.156829833E0,2.260434169E-1,3.124372560E0,-2.251172179E0,3.857534926E0
1.166820833E0,1.844916406E0,5.548409484E0,-2.563732168E0,6.384456671E0
1.176811833E0,2.236663483E0,4.728230485E0,-1.694895271E0,5.498317655E0
1.186803833E0,1.214862548E0,3.918285282E0,-7.861008418E-1,4.176937287E0
1.196794833E0,6.090401351E-2,2.349360963E0,-1.385650946E0,2.728229238E0
1.206785833E0,-1.574593195E0,6.918571740E-1,-5.856319767E-1,1.816858522E0
1.216776833E0,1.030122108E0,-8.283639318E-1,9.646590203E-1,1.636430685E0
1.226767833E0,1.610966384E0,-9.651244587E-1,5.892628053E-1,1.968224724E0
1.236759833E0,2.986307520E-1,-1.046691363E0,3.787250349E-1,1.152465092E0
1.246750833E0,-7.099630773E-2,-1.320532844E0,-5.811405842E-1,1.444497091E0
1.256741833E0,-9.743344080E-1,-1.394108359E0,3.446113555E-1,1.735402732E0
1.266732833E0,-2.456842142E-1,-2.654346469E0,2.829612665E0,3.887495819E0
1.276724833E0,-9.232174641E-1,-2.450345301E0,1.810556413E0,3.183494480E0
1.286715833E0,-1.848856845E0,-1.360012075E0,4.362075502E-1,2.336275134E0
1.296706833E0,-1.677950917E0,-1.029870678E0,7.365664467E-3,1.968808560E0
1.306697833E0,-3.582132947E-1,-5.818043894E-1,-1.397045269E-1,6.973739792E-1
1.316689833E0,2.176928912E0,3.886644244E-2,-4.034672356E-1,2.214343221E0
1.326680833E0,3.280225416E0,-5.218628275E-1,-2.863699594E0,4.385543860E0
1.336671833E0,8.825185043E-1,-9.548754591E-1,-2.775517734E0,3.064983645E0
1.346662833E0,-6.608990908E-1,-1.092584404E0,-1.872001294E0,2.266035554E0
1.356654833E0,-1.024647360E0,-1.067419742E0,-1.300244175E0,1.969751770E0
1.366645833E0,-2.371887946E-1,-8.019456267E-3,-2.145046384E0,2.158135034E0
1.376636833E0,1.959618312E0,3.355506563E-1,-1.157910082E0,2.300750732E0
1.386627833E0,8.181973779E-1,-3.343145549E-1,2.064821416E-1,9.076607547E-1
1.396618833E0,-2.204787971E0,-4.632807434E-1,1.331352166E-1,2.256865976E0
1.406610833E0,-4.012984156E0,-1.983036411E-1,3.175937840E-1,4.030413376E0
