"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.139360625E0,1.803991744E0,4.714065605E0,-4.748430276E-1,5.069741279E0
1.149351625E0,2.371851109E0,4.806876120E0,1.201444942E-1,5.361545525E0
1.159342625E0,2.548434682E0,4.739121509E0,5.638353109E-1,5.410332916E0
1.169332625E0,2.557034183E0,4.470398388E0,6.646623588E-1,5.192750871E0
1.179323625E0,2.472554196E0,4.100866053E0,5.028927423E-1,4.814927595E0
1.189314625E0,2.049554336E0,3.667547320E0,2.067698246E-1,4.206462894E0
1.199305625E0,1.752779490E0,3.260588127E0,-3.926986378E-2,3.702055240E0
1.209295625E0,1.786654165E0,2.948402944E0,-1.910642034E-1,3.452784175E0
1.219286625E0,1.993361424E0,2.729641942E0,-2.663138123E-1,3.390480489E0
1.229277458E0,2.273048367E0,2.451335235E0,-3.353892732E-1,3.359803458E0
1.239268458E0,2.557665097E0,2.112901316E0,-3.746187912E-1,3.338613778E0
1.249258458E0,2.946347063E0,1.746616233E0,-3.075957396E-1,3.438930709E0
1.259249458E0,3.698587849E0,1.423029564E0,-7.151437104E-2,3.963543808E0
1.269240458E0,4.489129651E0,1.131531538E0,2.120861131E-1,4.634396310E0
1.279230458E0,4.729560726E0,8.352253470E-1,4.459074962E-1,4.823399169E0
1.289221458E0,4.555472159E0,6.188026464E-1,4.627656037E-1,4.620540587E0
1.299212458E0,4.229857677E0,5.431320745E-1,2.190367714E-1,4.270206731E0
1.309203458E0,3.790154661E0,5.210348618E-1,-9.657787621E-2,3.827019332E0
1.319193458E0,3.399582875E0,5.167225403E-1,-3.190539068E-1,3.453398515E0
1.329184458E0,3.087006513E0,4.669375920E-1,-5.293034095E-1,3.166670496E0
1.339175458E0,2.874796439E0,3.300609979E-1,-6.845808989E-1,2.973557774E0
1.349166458E0,2.879422172E0,3.301425666E-2,-7.869317311E-1,2.985200753E0
1.359156458E0,3.194745555E0,-3.292204607E-1,-7.610145324E-1,3.300595157E0
1.369147458E0,3.906784394E0,-6.309645626E-1,-4.903305477E-1,3.987669072E0
1.379138458E0,4.448597336E0,-8.075566149E-1,-1.104550731E-1,4.522650359E0
1.389129458E0,4.645860758E0,-9.475474361E-1,2.157020313E-1,4.746408715E0
1.399119458E0,4.820178536E0,-9.688830489E-1,4.491877842E-1,4.937066451E0
1.409110458E0,4.511709259E0,-6.117231300E-1,6.553261095E-1,4.599910644E0
1.419101458E0,3.664481624E0,-2.700068772E-2,7.628259999E-1,3.743134798E0
1.429091458E0,2.841712309E0,4.575077873E-1,7.244647568E-1,2.968078739E0
1.439082458E0,2.247556261E0,6.510152498E-1,5.863312306E-1,2.412284045E0
1.449073458E0,1.899311299E0,6.547165373E-1,3.138376788E-1,2.033354678E0
1.459064458E0,1.668112392E0,4.623497204E-1,7.317147195E-2,1.732547339E0
1.469054458E0,1.395855507E0,1.134071861E-1,-8.180664003E-2,1.402842155E0
1.479045458E0,1.258347121E0,-4.316606091E-1,-2.314871381E-1,1.350316501E0
1.489036458E0,1.320263287E0,-1.088614730E0,-3.364867590E-1,1.743961157E0
1.499027458E0,1.430091539E0,-1.920287601E0,-3.687043691E-1,2.422521247E0
1.509017458E0,1.597836462E0,-2.726828847E0,-3.253607136E-1,3.177190034E0
1.519008458E0,1.747345088E0,-3.383968470E0,-3.138224030E-1,3.821379589E0
1.528999458E0,1.720466607E0,-3.685624571E0,-3.098462963E-1,4.079195822E0
1.538989458E0,1.586026840E0,-4.564135979E0,-4.429838884E-1,4.852118413E0
1.548980458E0,1.356062281E0,-5.010270347E0,-4.579679632E-1,5.210705184E0
1.558971458E0,6.720824754E-1,-5.088609588E0,-4.752032526E-1,5.154751257E0
1.568962458E0,-1.165572274E-1,-5.203024980E0,-4.777222331E-1,5.226210201E0
1.578952458E0,-6.716532898E-1,-5.415493501E0,-5.806613318E-1,5.487791504E0
