"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.634946250E-1,-1.313123252E0,-5.749830276E-2,-1.866355076E0,2.282735202E0
9.734866250E-1,-1.164135028E0,-5.156440213E-1,-1.680930659E0,2.108702682E0
9.834776250E-1,-1.827439663E0,-2.752950990E-1,-1.109846116E0,2.155709052E0
9.934696250E-1,-1.569187444E0,-8.937322944E-2,1.581902068E0,2.229966583E0
1.003460625E0,-5.855156171E-1,-5.516198927E-1,1.821209894E0,1.990959196E0
1.013452625E0,-5.882825196E-2,-4.047632709E-1,1.032827322E-1,4.218547042E-1
1.023443625E0,7.630879551E-1,1.033034021E0,5.186831117E-1,1.385097356E0
1.033435625E0,1.960935690E0,1.532900208E0,1.427223334E0,2.869149399E0
1.043426625E0,2.048362089E0,5.803291368E-1,1.791367167E0,2.782366885E0
1.053418625E0,2.475362028E0,1.050651097E-1,4.491445148E-1,2.517972725E0
1.063409625E0,2.482235430E0,-1.395285988E-1,-4.536058673E-1,2.527195925E0
1.073401625E0,2.319785746E0,4.128713125E-1,2.844319582E-2,2.356412028E0
1.083392625E0,2.575002092E0,1.141403977E0,2.211564310E0,3.581124894E0
1.093384625E0,1.448241881E0,-1.377577695E0,1.149652791E0,2.305824449E0
1.103375625E0,-2.022937810E-1,-3.472430411E0,-1.538369694E0,3.803324473E0
1.113367625E0,-1.425200343E0,-4.390446192E0,-3.011218997E0,5.511320498E0
1.123358625E0,4.950849187E-1,-3.992400495E0,-4.108370662E-2,4.023190110E0
1.133350625E0,1.516856618E0,-3.339932504E0,1.502757812E0,3.964124641E0
1.143341625E0,2.065622485E0,-1.537769769E0,1.334177907E0,2.900269436E0
1.153333625E0,1.680768691E0,-3.160086769E-1,2.394465215E0,2.942500390E0
1.163324625E0,1.504561093E0,1.937391876E0,1.943992213E0,3.129903687E0
1.173316625E0,9.628855598E-1,1.408118872E0,-7.879848146E-1,1.879060251E0
1.183307625E0,-1.232862031E-1,-1.109170032E-1,1.095232681E0,1.107716884E0
1.193299625E0,-2.331711727E-1,-4.368022120E-1,3.048016695E0,3.087971946E0
1.203290625E0,8.939673525E-1,-9.838682932E-1,2.505517874E0,2.836334653E0
1.213282625E0,4.905866557E-1,-3.094628359E0,2.096496514E-1,3.140279116E0
1.223273625E0,1.482912946E0,-3.876654861E0,-3.230367377E-2,4.150726111E0
1.233265625E0,1.465764817E0,-4.150706842E0,-6.672993799E-1,4.452204201E0
1.243256625E0,-5.136018813E-2,-1.222189109E0,-2.989684871E0,3.230263103E0
1.253248625E0,-2.170932593E0,-2.784527124E0,-3.179955608E0,4.751700463E0
1.263238875E0,-1.267076429E0,-1.048027452E0,-6.112655854E-1,1.754277581E0
1.273230875E0,-1.400648469E0,9.024639416E-1,-1.069976072E0,1.980178299E0
1.283221875E0,-1.005740388E0,1.127998066E-1,-6.202726364E-1,1.187002809E0
1.293213875E0,-3.290310109E-1,4.355082232E-1,1.341707951E0,1.448485086E0
1.303204875E0,-6.457852077E-1,2.853131336E-1,-2.845013939E-2,7.065773342E-1
1.313196875E0,-5.418661523E-1,-2.749255550E-1,-9.999685284E-1,1.170102579E0
1.323187875E0,-4.250463849E-1,-5.300091684E-1,-6.655020189E-1,9.510347444E-1
1.333179875E0,7.209616899E-3,7.234917802E-1,-7.731470664E-1,1.058890325E0
1.343170875E0,-1.028086692E-1,1.248578762E0,-1.695707157E-2,1.252919028E0
1.353162875E0,-7.421894217E-1,2.856292341E0,2.383956599E-1,2.960757262E0
1.363153875E0,-1.521948958E0,2.865006446E0,-5.391119675E-1,3.288652046E0
1.373145875E0,-2.012613966E0,1.702405728E0,-6.212806233E-1,2.708281716E0
1.383136875E0,-1.345160732E0,1.639579734E0,-3.949197757E-1,2.157229874E0
1.393128875E0,-6.166415155E-2,2.990667204E0,-1.812028742E-1,2.996786157E0
1.403119875E0,-3.963634533E-1,1.713848729E0,-3.578857776E-1,1.795122191E0
1.413111875E0,-2.093583870E-1,-2.987927198E-4,2.809141271E-2,2.112348242E-1
1.423102875E0,6.603015053E-1,-2.240021539E-1,3.003060523E-1,7.591829608E-1
1.433094875E0,1.236297271E0,-8.977545941E-1,5.036558405E-1,1.608745927E0
1.443086875E0,9.995563728E-1,-1.004579131E0,8.011398804E-1,1.627918082E0
1.453077875E0,4.975822645E-1,-2.279238814E-1,1.009845718E0,1.148619075E0
1.463069875E0,1.837499213E-1,3.240456748E-1,3.177692735E-1,4.896396064E-1
1.473060875E0,-1.936831713E-2,7.394155025E-2,-5.721640118E-1,5.772470364E-1
1.483052875E0,5.611689806E-2,-3.365347427E-1,-7.141028329E-1,7.914212502E-1
1.493043875E0,3.007439357E-1,-2.500900912E-1,-9.015307260E-1,9.827256069E-1
1.503035875E0,4.462255847E-1,-1.411529553E-1,-6.617012557E-1,8.104874959E-1
1.513026875E0,3.802181214E-1,3.863916117E-1,-4.333150788E-1,6.939929790E-1
1.523018875E0,1.606347084E-1,7.900564831E-1,1.672093177E-1,8.233782315E-1
1.533009875E0,-5.357359314E-1,2.024622978E0,-4.903233849E-2,2.094878364E0
1.543001875E0,-8.488145685E-1,1.966009904E0,-4.772497416E-2,2.141952097E0
1.552992875E0,-7.012267524E-1,6.057873291E-1,-1.895832498E-1,9.458536118E-1
1.562984875E0,1.482011890E-1,-3.497289848E-1,-3.537929459E-1,5.190793810E-1
1.572975875E0,-3.805917585E-1,-6.912356150E-1,-5.915522826E-1,9.862002155E-1
1.582967875E0,-5.975450939E-1,5.663940525E-1,5.548819081E-1,9.928526043E-1
1.592958875E0,-5.387525100E-1,1.264798939E0,-4.420378089E-2,1.375472499E0
1.602950875E0,-4.051225823E-1,2.036971128E0,2.435296614E-1,2.091095976E0
1.612941875E0,9.563822865E-2,2.059309246E0,-9.434716344E-2,2.063686659E0
1.622933875E0,8.462909102E-1,1.839135849E0,5.660854657E-1,2.102161205E0
1.632924875E0,1.457971648E0,1.055040017E0,-1.350050466E-1,1.804720789E0
