"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.941355208E0,-6.470915342E0,4.311308221E0,8.367687196E-1,7.820505472E0
1.951346208E0,-5.823909820E0,2.894755325E0,3.579004687E0,7.423396025E0
1.961337208E0,-5.371876781E0,1.571532177E0,3.237997994E0,6.466173872E0
1.971328208E0,-4.892531397E0,-1.211502737E0,2.829121499E0,5.780011316E0
1.981319208E0,-3.094376929E0,-2.614797072E0,1.341545983E0,4.267561122E0
1.991310208E0,-2.721510512E-1,-3.111198199E-1,-8.487004747E-1,9.440096571E-1
2.001301208E0,3.824225217E0,-3.035577913E0,-1.920806249E0,5.246801733E0
2.011292208E0,5.058508122E0,-1.199501093E1,3.034387420E0,1.336698540E1
2.021283208E0,5.079708372E0,-1.197704244E1,3.074291158E0,1.336803085E1
2.031274208E0,-9.539790809E-2,-1.730965985E1,-1.013433058E0,1.733956376E1
2.041265208E0,1.492692999E0,-2.954046677E0,4.505782521E0,5.590760260E0
2.051256208E0,1.000936900E0,6.172700912E-1,4.832743033E0,4.973761380E0
2.061247208E0,1.065142252E0,1.603116497E0,4.934072356E0,5.296185470E0
2.071238208E0,1.667118366E0,2.235434983E0,4.664478292E0,5.434501904E0
2.081229208E0,2.515813066E0,2.711317645E0,3.487468280E0,5.083600473E0
2.091220208E0,2.744562282E0,2.310795068E0,1.953984520E0,4.085394898E0
2.101211208E0,3.044681151E0,9.503456211E-1,1.076603964E0,3.366350576E0
2.111202208E0,3.026828724E0,3.501955926E-2,9.619454737E-1,3.176201755E0
2.121193208E0,2.819158428E0,-9.759470701E-1,6.328868347E-1,3.049700424E0
2.131184208E0,2.550898407E0,-2.300444911E0,-4.237371933E-1,3.461023357E0
2.141175208E0,1.999808272E0,-2.821159930E0,-2.011999863E0,4.000789912E0
2.151166208E0,9.975411299E-1,-2.472868191E0,-4.284737304E0,5.046695866E0
2.161157208E0,6.724552354E-1,-2.426446561E0,-5.332027422E0,5.896639330E0
2.171148208E0,7.606777328E-1,-2.618361534E0,-4.798652011E0,5.519194585E0
2.181139208E0,1.108697869E0,-2.586664363E0,-4.684413205E0,5.464775436E0
2.191131208E0,1.699666892E0,-2.314049043E0,-5.564544876E0,6.261617218E0
2.201122208E0,1.957972321E0,-2.244068397E0,-5.364978821E0,6.136162997E0
2.211113208E0,2.624266638E0,-2.147798669E0,-4.526229064E0,5.655666543E0
2.221104208E0,3.233623107E0,-1.725781142E0,-4.550818360E0,5.843336949E0
2.231095208E0,3.318523509E0,-1.186604708E0,-4.630241675E0,5.818914588E0
2.241086208E0,3.391421916E0,-5.347173464E-1,-4.037229343E0,5.299706220E0
2.251077208E0,3.355955629E0,1.040646511E-1,-3.676122846E0,4.978669181E0
2.261068208E0,3.141668624E0,-1.432842654E-1,-3.515948313E0,4.717256053E0
2.271059208E0,2.996090496E0,-7.858774781E-1,-2.479113017E0,3.967387431E0
2.281050208E0,2.350308797E0,-1.397150665E0,-1.614410394E0,3.175264137E0
2.291041208E0,1.988659093E0,-1.139695421E0,-1.267926030E0,2.619409677E0
2.301032208E0,1.989640256E0,-7.807956630E-1,-8.805395141E-3,2.137378710E0
2.311023208E0,1.959024820E0,-7.578435874E-1,1.039508643E0,2.343647449E0
2.321014208E0,1.642365932E0,-7.119154626E-1,1.229410420E0,2.171552316E0
2.331005208E0,1.257292868E0,-6.984762222E-1,1.000984263E0,1.752319572E0
2.340996208E0,7.354019737E-1,-7.056682974E-1,7.116476601E-1,1.243071278E0
2.350987208E0,9.117504895E-2,-1.925377017E-1,9.469706082E-1,9.706374138E-1
2.360978208E0,-5.404207206E-1,7.519238663E-1,1.425250044E0,1.699641652E0
2.370969208E0,-9.424284911E-1,1.349403471E0,1.601857007E0,2.296738353E0
2.380960208E0,-1.402754636E0,1.515506496E0,1.729739707E0,2.693785433E0
2.390951208E0,-1.705020602E0,1.240230693E0,1.842616696E0,2.800089948E0
2.400942208E0,-1.856351221E0,5.668074507E-1,2.027213295E0,2.806582314E0
2.410933208E0,-1.722017874E0,-1.950245225E-1,2.193664228E0,2.795629244E0
2.420924208E0,-1.582470564E0,-5.143702054E-1,2.202754310E0,2.760600721E0
2.430915208E0,-1.864261335E0,-6.748102015E-1,2.298479662E0,3.035432076E0
2.440906208E0,-2.087660056E0,-5.713770497E-1,2.819605156E0,3.554570224E0
2.450897208E0,-2.324343066E0,-5.349816406E-1,3.109630560E0,3.919002203E0
2.460888208E0,-3.002007294E0,-8.147831887E-1,3.294692597E0,4.531105687E0
2.470879208E0,-3.121533152E0,-7.926941621E-1,3.519867117E0,4.770932590E0
2.480870208E0,-3.684690771E0,-1.587277560E0,3.856307135E0,5.564845088E0
2.490861208E0,-5.154503615E0,-3.695683537E0,2.802752311E0,6.934147737E0
2.500852208E0,-6.027267210E0,-3.356859609E0,2.009708485E0,7.185776551E0
2.510842750E0,-5.162709013E0,-2.533577492E0,1.486416013E0,5.939866314E0
2.520833750E0,-4.727526480E0,-2.435927237E0,2.118686332E-1,5.322418289E0
2.530824750E0,-3.757669285E0,-1.328170477E0,2.652934366E-1,3.994307935E0
2.540815750E0,-2.787019207E0,-4.323010254E-1,1.711111647E-1,2.825533449E0
2.550806750E0,-2.371756968E0,-3.653363729E-1,-5.553513665E-2,2.400372041E0
2.560798750E0,-1.848413626E0,3.174862683E-2,1.949455669E-1,1.858936438E0
2.570789750E0,-1.616889029E0,5.512509334E-1,6.130788070E-1,1.814958222E0
2.580780750E0,-1.530130967E0,7.834473753E-1,9.545199484E-1,1.966265215E0
2.590771750E0,-1.253896220E0,1.111039971E0,6.227922016E-1,1.787326404E0
2.600762750E0,-1.052770128E0,1.222806575E0,-2.550206462E-2,1.613763061E0
2.610753750E0,-6.667445523E-1,1.292579060E0,-4.790144312E-1,1.531262143E0
2.620744750E0,-2.674539828E-1,1.375916501E0,-7.249974382E-1,1.578068166E0
2.630735750E0,-8.358010054E-3,1.201324489E0,-8.040178800E-1,1.445577786E0
2.640726750E0,2.343306756E-1,9.772141618E-1,-1.233674794E0,1.591166830E0
2.650717750E0,5.318621510E-1,6.911853290E-1,-1.919871279E0,2.108677366E0
2.660708750E0,6.701569873E-1,7.516443694E-1,-2.198984610E0,2.418597312E0
2.670699750E0,5.510649920E-1,1.219410512E0,-2.420254360E0,2.765549817E0
2.680690750E0,2.637550342E-1,1.227773200E0,-2.962035728E0,3.217242515E0
2.690681750E0,1.458576250E-1,1.306497188E0,-3.000984616E0,3.276296386E0
2.700672750E0,8.183587611E-2,1.564196845E0,-2.921048500E0,3.314503465E0
2.710663750E0,-2.181186855E-2,1.401298095E0,-2.949129753E0,3.265191941E0
2.720654750E0,1.495437098E-1,1.354613340E0,-3.255876440E0,3.529599413E0
2.730645750E0,4.628427869E-1,1.203450537E0,-3.216968483E0,3.465747085E0
2.740636750E0,1.057245587E0,1.098923371E0,-2.843902676E0,3.226946426E0
2.750627750E0,1.660143807E0,7.048631358E-1,-2.492211365E0,3.076365874E0
2.760618750E0,2.021687676E0,2.388950121E-1,-2.238073246E0,3.025436124E0
2.770609750E0,2.464661039E0,1.127074206E-1,-2.034509450E0,3.197887694E0
2.780600750E0,2.641639885E0,-1.360810804E-1,-1.908953943E0,3.262036863E0
2.790591750E0,2.788740043E0,-3.668665892E-1,-1.753239666E0,3.314439839E0
2.800582750E0,2.895026636E0,-5.453481692E-1,-1.434700314E0,3.276728375E0
2.810573750E0,2.975377319E0,-6.035209483E-1,-1.291335942E0,3.299190241E0
2.820564750E0,3.198769609E0,-6.544753397E-1,-1.172966663E0,3.469339385E0
2.830555750E0,3.326142431E0,-6.619258618E-1,-1.110254105E0,3.568477756E0
2.840546750E0,3.339255981E0,-6.582117105E-1,-1.050538246E0,3.561952242E0
2.850537750E0,3.506521432E0,-3.775886285E-1,-9.533896816E-1,3.653384405E0
2.860528750E0,3.393752031E0,-6.331113678E-1,-1.265547382E0,3.676954314E0
2.870519750E0,3.179390767E0,-4.274209392E-1,-1.430027804E0,3.512291820E0
2.880510750E0,2.826804247E0,-4.937277800E-1,-1.725005216E0,3.348168510E0
2.890501750E0,2.942212497E0,-7.531599677E-1,-2.034579617E0,3.655595510E0
2.900492750E0,3.322044702E0,-1.615492129E0,-2.386051657E0,4.397617347E0
2.910483750E0,3.507889096E0,-2.520809512E0,-2.726387089E0,5.108126180E0
2.920475750E0,3.695971220E0,-2.723364079E0,-2.628176671E0,5.290012077E0
2.930466750E0,3.637669217E0,-2.660132874E0,-1.876128843E0,4.881475563E0
2.940457750E0,3.716179782E0,-2.605910473E0,-8.830125940E-1,4.623902335E0
2.950448750E0,3.481536865E0,-2.217508004E0,-1.358594801E-1,4.129999817E0
2.960439750E0,2.618079114E0,-1.674337923E0,4.536503792E-1,3.140628025E0
2.970430750E0,1.538314145E0,-7.397692591E-1,1.075264367E0,2.017390003E0
2.980421750E0,3.918891639E-1,1.430918920E-1,1.678617500E0,1.729684687E0
2.990412750E0,-5.533863366E-1,9.393663043E-1,1.927511251E0,2.214485293E0
3.000403750E0,-1.361604272E0,1.868317548E0,1.949742365E0,3.024247335E0
3.010394750E0,-1.906416251E0,2.577469617E0,2.068143804E0,3.815100437E0
3.020385750E0,-2.486892153E0,2.951363974E0,1.980042636E0,4.337712615E0
3.030376750E0,-3.858652453E0,2.733659856E0,1.474705210E0,4.953468524E0
3.040367750E0,-4.139098365E0,2.591668995E0,1.278305422E0,5.048063808E0
3.050358750E0,-4.181101838E0,2.020203652E0,1.168253807E0,4.788282817E0
3.060349750E0,-4.302384785E0,8.644178635E-1,7.648660934E-1,4.454520538E0
3.070340750E0,-4.359868178E0,-5.022366482E-1,6.238370991E-1,4.432816814E0
3.080331750E0,-4.190687764E0,-1.791838306E0,5.007450600E-1,4.585116581E0
3.090322750E0,-3.522855629E0,-2.281524491E0,3.399653041E-1,4.210871904E0
3.100313750E0,-3.009308712E0,-2.366960497E0,1.783798019E-1,3.832787533E0
3.110304750E0,-2.808876684E0,-2.456739816E0,-1.907993976E-1,3.736544281E0
3.120295750E0,-2.816817203E0,-2.526605272E0,-3.894502171E-1,3.803927553E0
3.130286750E0,-3.070050173E0,-2.512156802E0,8.911514796E-2,3.967881220E0
3.140277750E0,-3.082023516E0,-2.587821527E0,9.133993312E-1,4.126740548E0
3.150268750E0,-2.516350425E0,-2.457908674E0,1.722753453E0,3.916786180E0
3.160259750E0,-2.312331716E0,-2.125287473E0,2.532740171E0,4.034662016E0
3.170250750E0,-2.066582597E0,-1.569355844E0,3.116906251E0,4.055705361E0
3.180241750E0,-1.909903530E0,-8.883043242E-1,3.190914459E0,3.823447548E0
3.190232750E0,-1.952316309E0,-2.227350622E-1,3.027301179E0,3.609113784E0
3.200223750E0,-1.906778778E0,1.144270867E-1,2.648103397E0,3.265172349E0
3.210214750E0,-1.935504979E0,4.954509544E-1,2.299390951E0,3.046120470E0
