"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.089367958E0,5.321536932E0,-6.586929363E-1,-3.001334864E-1,5.370541110E0
1.099358958E0,2.659038275E0,-1.319718619E0,-6.897001362E-1,3.047593815E0
1.109349958E0,-3.731634557E-1,-4.452349787E0,2.536287092E0,5.137647497E0
1.119340958E0,-2.714616060E0,-7.855243063E0,5.614370170E0,1.002971267E1
1.129330958E0,-2.740480633E0,-7.436811048E0,5.711555572E0,9.769250725E0
1.139321958E0,-1.723502482E0,-4.544583767E0,4.166297858E0,6.401698232E0
1.149312958E0,3.160934615E-1,-2.132987671E0,1.240770975E0,2.487782968E0
1.159303958E0,1.530249665E0,-5.756349921E-1,-2.338441873E-1,1.651575849E0
1.169294958E0,2.372089675E0,6.493438232E-1,-5.461930919E-1,2.519282382E0
1.179285958E0,3.705524985E0,1.116733113E0,-4.398275614E-1,3.895055397E0
1.189276958E0,3.547036205E0,8.600789371E-1,8.857420743E-1,3.755760993E0
1.199267958E0,9.305510420E-1,2.182834893E0,1.225124411E0,2.670509920E0
1.209258958E0,-1.597693205E-1,2.707123438E0,1.703410864E0,3.202444709E0
1.219249958E0,2.500905590E0,2.366530727E0,2.786598208E0,4.429461144E0
1.229240958E0,1.346426069E0,8.483330503E-1,1.141832140E0,1.958650750E0
1.239230958E0,5.899957538E-1,-2.050902119E-1,-4.574515079E-1,7.742214583E-1
1.249221958E0,-1.028592476E0,-1.822609863E0,-6.708833577E-1,2.197724659E0
1.259212958E0,-2.652979390E0,-2.568020516E0,-2.238087572E-1,3.699070069E0
1.269203958E0,-2.378919223E0,-1.915323022E0,1.552167369E0,3.425922137E0
1.279194958E0,-1.745126070E0,-3.554990172E-1,2.633599963E0,3.179259869E0
1.289185958E0,-4.041911209E-1,1.332681019E0,2.347707955E0,2.729677967E0
1.299176958E0,-2.622072762E-1,2.529600509E0,8.035886943E-1,2.667093208E0
1.309167958E0,2.657682306E-1,3.668282022E0,3.862401688E-1,3.698122120E0
1.319158958E0,1.887367777E0,4.585668643E0,1.552190611E0,5.196134113E0
1.329149958E0,2.884851311E0,4.695284348E0,1.724747792E0,5.774323956E0
1.339140958E0,2.790031108E0,3.957572724E0,6.887206545E-1,4.890909076E0
