"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.327369375E0,-6.407431537E-1,-1.226679186E0,-3.520550072E-2,1.384389050E0
1.337360375E0,-2.241176364E-1,-9.167147756E-1,-3.206221300E-1,9.966911482E-1
1.347351375E0,-5.754651305E-1,-8.822015852E-1,-5.670477712E-1,1.196236987E0
1.357342375E0,-1.484130337E0,-8.177518201E-1,-1.175650535E0,2.062405168E0
1.367333375E0,-1.865943286E0,-2.042473358E-1,-1.445898317E0,2.369405678E0
1.377324375E0,-1.858036096E0,1.018194957E0,-1.559671831E0,2.630892496E0
1.387314375E0,-1.425958727E0,1.835313524E0,-1.676844332E0,2.865927587E0
1.397305375E0,-1.431592812E0,1.850882320E0,-1.621218892E0,2.846677720E0
1.407296375E0,-3.053166922E0,8.725215197E-1,-7.570061199E-1,3.264380542E0
1.417287375E0,-3.608170891E0,-7.575331002E-1,-1.519233803E-1,3.689963996E0
1.427278375E0,-2.310328460E0,-1.727824743E0,7.677255280E-1,2.985364035E0
1.437269375E0,-5.116955428E-1,-1.831529206E0,6.153989822E-1,1.998761484E0
1.447260375E0,7.880618517E-1,-9.722416896E-1,1.165649749E-1,1.256933880E0
1.457250375E0,4.520249994E-1,-1.090632019E0,1.847614896E-1,1.194965108E0
1.467241375E0,-5.528761670E-1,-2.232396770E0,7.136187565E-1,2.408011446E0
1.477232375E0,8.713666946E-2,-2.467154292E0,1.464821076E0,2.870565081E0
1.487223375E0,-5.532299235E-2,-2.781531596E0,1.791177571E0,3.308820899E0
1.497214375E0,-5.539919619E-1,-3.497758210E0,1.812576041E0,3.978272426E0
1.507205375E0,-2.672905532E-1,-3.655923640E0,1.777061223E0,4.073716790E0
1.517195375E0,8.240130186E-1,-3.003224684E0,1.464012991E0,3.441175671E0
1.527186375E0,2.050405691E0,-1.727905435E0,1.181584216E0,2.930181214E0
1.537177375E0,1.943844278E0,-9.431617320E-1,3.127680769E-1,2.183096082E0
1.547168375E0,9.174697973E-1,-4.493380576E-1,-8.030256075E-1,1.299425121E0
1.557159375E0,6.084121442E-1,-1.206830227E-1,-1.121300665E0,1.281423002E0
1.567150375E0,9.951078111E-1,3.786364496E-2,-3.391671592E-1,1.052001698E0
1.577141375E0,3.454859528E-1,-2.172994906E-1,4.431897104E-1,6.024921008E-1
1.587131375E0,-5.411465062E-1,-1.053302810E0,2.652706142E-1,1.213529913E0
1.597122375E0,2.580639392E-1,-1.498101674E0,1.265424006E0,1.977929103E0
1.607113375E0,8.346227183E-1,-1.536153014E0,1.498878769E0,2.302824077E0
1.617104375E0,8.112389720E-1,-9.649543047E-1,3.629161737E-1,1.311851222E0
1.627095375E0,3.196913995E-1,-1.692675376E-1,1.026443624E-1,3.760185572E-1
1.637086375E0,1.895879568E0,1.987296692E0,-2.316787294E0,3.593217339E0
1.647076375E0,1.012656986E0,2.165360196E0,-2.823886487E0,3.699809974E0
1.657067375E0,1.742144575E0,2.909626549E0,-1.255366210E0,3.616205013E0
1.667058375E0,1.741139438E0,3.067287948E0,6.186218943E-1,3.580853941E0
1.677049375E0,-2.601159903E0,1.294439059E0,2.793112006E0,4.030270462E0
1.687040375E0,-5.562798312E0,2.607858181E-1,2.410712727E0,6.068300434E0
1.697031375E0,5.203193380E0,3.030799568E0,1.559161516E-1,6.023560178E0
1.707022375E0,6.691341923E0,2.997784435E0,2.629729106E0,7.789495711E0
1.717012375E0,5.930848963E0,1.303655441E0,2.774720174E0,6.676343233E0
1.727003375E0,4.573291549E0,1.995088107E0,7.855154624E-1,5.050980765E0
1.736994375E0,3.584722387E0,2.713181738E0,6.101335645E-1,4.536943101E0
1.746985375E0,3.673223796E0,2.762368516E0,1.345629094E0,4.788942528E0
1.756976375E0,3.230890411E0,2.441455779E0,1.545242511E0,4.334412715E0
1.766967375E0,2.317172187E0,2.044544442E0,8.263220110E-1,3.198789925E0
1.776957375E0,1.612949029E0,1.668881301E0,1.059057639E0,2.551151201E0
1.786948375E0,1.678647029E0,1.468428808E0,2.098431212E0,3.062278982E0
1.796939375E0,1.953758086E0,2.091841400E0,3.598683491E0,4.598205517E0
1.806930375E0,1.553243402E0,1.395770137E0,3.291281331E0,3.897854813E0
1.816921375E0,4.860651135E-1,5.083680385E-1,2.272410436E0,2.378769965E0
1.826912375E0,-5.743447309E-1,-9.436920744E-1,2.150921667E0,2.418034453E0
1.836903375E0,-1.092209598E0,-2.558169712E0,2.797134891E0,3.944758253E0
1.846893375E0,-9.349434704E-1,-3.254930361E0,3.459648982E0,4.841266573E0
1.856884375E0,-3.031884921E-1,-3.356884167E0,3.366016349E0,4.763471490E0
1.866875375E0,2.597373392E-1,-2.868779070E0,3.324381834E0,4.398735206E0
1.876866375E0,9.877993032E-1,-1.693441946E0,3.028734916E0,3.607870325E0
1.886857375E0,1.602297010E0,-5.955365753E-1,2.751243603E0,3.239037031E0
1.896848375E0,1.630899543E0,-5.992793781E-1,2.863025994E0,3.349012830E0
1.906838375E0,1.867436665E0,-1.051313002E0,2.475386002E0,3.274158607E0
1.916829375E0,1.980332366E0,-1.521963576E0,1.719978365E0,3.032559147E0
1.926820375E0,1.745456145E0,-2.376275112E0,2.157603280E0,3.653567089E0
1.936811375E0,1.736811037E0,-3.063850370E0,2.802866331E0,4.501083352E0
1.946802375E0,1.638382955E0,-2.880258908E0,2.423462727E0,4.105284604E0
1.956793375E0,9.785531741E-1,-2.072120495E0,9.707774737E-1,2.488706203E0
1.966784375E0,4.222418045E-1,-5.255927664E-1,-1.156606153E0,1.338758265E0
1.976774375E0,3.663823666E-1,1.107395986E0,-2.605136302E0,2.854347046E0
1.986765375E0,1.342679502E-1,1.970750826E0,-2.657957709E0,3.311589631E0
1.996756375E0,-2.215906160E-1,2.592858903E0,-2.408009706E0,3.545494385E0
